Frequency;Cores;CacheSize;P_orig;P;P_dyn_orig;P_dyn;P_dyn_rest;P_dyn_mem_orig;P_dyn_mem;P_dyn_arm_orig;P_dyn_arm;P_idle;P_idle_kfc;P_idle_arm;rps_orig;rps;IPC_orig;IPC;memory_heaviness_orig;memory_heaviness;IPR_orig;IPR;measured_P;measured_rps;delta_rps_rel;delta_P_rel;delta_rps;delta_P
300;2;32;4.07781549480747;4.0742412320221355;0.25298096460306574;0.24940670181773175;0.11309385931013141;0.012447487261827324;0.012232370192455384;0.12743961803110704;0.12408047231514496;3.824834530204404;0.014813362109801952;0.06447413526774234;6750.374741106163;6795.47332332333;0.7921336807018929;0.7937070458483162;0.001775001879979899;0.0017522606695890624;35203.98693771281;35039.812890921035;4.148724199415305;6798.958045583915;5.128005209916306e-4;0.01828143282429111;3.484722260584931;0.07448296739316973
400;2;32;4.195612111273785;4.192834469589022;0.3717542372595851;0.3689765955748219;0.13974025691899689;0.015342100469184695;0.015136248242501767;0.21667187987140357;0.21410009041332323;3.8238578740142004;0.01749535448626707;0.06081548670107363;8526.531103531226;8584.441834426074;0.7504197239817882;0.7519930891282115;0.001775001879979899;0.0017522606695890624;35203.98693771281;35039.812890921035;4.248684461315194;8709.890244598593;0.014613461491396584;0.01332034263008862;125.44841017251929;0.055849991726171666
500;2;32;4.309735641209797;4.307724188882175;0.48201265622224765;0.4800012038946254;0.16452896623141314;0.017866181528648765;0.01766924021815778;0.2996175084621857;0.29780299744505445;3.82772298498755;0.021396776632844235;0.060779175527845855;10088.335796545765;10158.054361936787;0.7102992832097154;0.7118726483561386;0.001775001879979899;0.0017522606695890624;35203.98693771281;35039.812890921035;4.3524106378705065;10377.707767931584;0.02162357063355161;0.010373563169077274;219.65340599479714;0.044686448988331406
600;2;32;4.422514091491581;4.421238396777671;0.5860842283671287;0.5848085336532187;0.18745998724738006;0.02004680556724086;0.019858421246444748;0.3785774355525078;0.37749012515939384;3.8364298631244522;0.026517628549533448;0.064365201748059;11449.368383886565;11529.954094701765;0.6717723583856745;0.6733457235320979;0.001775001879979899;0.0017522606695890624;35203.98693771281;35039.812890921035;4.459729702836921;11911.671214842207;0.03310656026946786;0.008706001035208607;381.7171201404417;0.03849130605925044
700;2;32;4.536183004505471;4.5356126356618445;0.6862044960805631;0.6856341272369368;0.20853331996689772;0.021909972333799134;0.02172979107620083;0.4557612037798662;0.45537101619383824;3.8499785084249076;0.03285791023633471;0.07157356536171307;12623.20842929041;12713.784221567297;0.6348389495096656;0.6364123146560889;0.001775001879979899;0.0017522606695890624;35203.98693771281;35039.812890921035;4.56176569238684;13338.496176569706;0.04913658625279055;0.005766157479887816;624.711955002409;0.02615305672499524
800;2;32;4.65288545814806;4.65298998343129;0.784516537259144;0.7846210625423737;0.2277489643899661;0.023480606198978675;0.023308274078081066;0.5332869666701994;0.5335638240743266;3.868368920888916;0.040417621693248015;0.08240426636880807;13623.435496494089;13723.187931379678;0.5994990565816887;0.601072421728112;0.001775001879979899;0.0017522606695890624;35203.98693771281;35039.812890921035;4.70301742587719;14596.577982238332;0.06364337901848194;0.010751676368107779;873.3900508586539;0.050027442445900405
900;2;32;4.774672065826204;4.7754210534928605;0.8830709653097267;0.8838199529763834;0.24510692051658522;0.024782556155251385;0.024617719244557475;0.6131814886378901;0.6140953132152407;3.891601100516477;0.049196762920273376;0.09685730476934401;14463.629149234373;14571.808412985196;0.5657526796017436;0.567326044748167;0.001775001879979899;0.0017522606695890624;35203.98693771281;35039.812890921035;4.878869909304251;15944.019311451802;0.09416888141651691;0.02166277164936604;1372.2108984666065;0.10344885581139085
1e3;2;32;4.903500976457015;4.904863994763669;0.9838259291494234;0.9851889474560782;0.26060718834675517;0.025838595816906167;0.025680900189918844;0.697380144985762;0.6989008589194041;3.9196750473075914;0.059195333917410775;0.11493268056332087;15157.368951248065;15273.288855230147;0.5335998185698306;0.5351731837162539;0.001775001879979899;0.0017522606695890624;35203.98693771281;35039.812890921035;5.101738605271639;17177.57106152067;0.12468055992003489;0.040138648231255535;1904.2822062905234;0.19687461050796973
1100;2;32;5.041237874467866;5.0431844916710915;1.0886471132056075;1.0905937304088327;0.2742497678804757;0.026670423420048696;0.026519515150270852;0.7877269219050831;0.789824447378086;3.952590761262259;0.07041333468466024;0.13663039375073865;15718.234466271932;15841.272446960826;0.5030404734859495;0.5046138386323729;0.001775001879979899;0.0017522606695890624;35203.98693771281;35039.812890921035;5.2196393808303725;17260.712238195676;0.08960389993842775;0.03498878326793306;1419.4397912348504;0.17645488915928098
1200;2;32;5.189655979796392;5.192155764152758;1.199307737415913;1.2018075217722788;0.28603465911774706;0.02729866182260155;0.02715418698353616;0.8859744164755643;0.8886186756709957;3.990348242380479;0.08285076522202174;0.16195044433159736;16159.805258042768;16289.402377023514;0.4740746443501004;0.47564800949652364;0.001775001879979899;0.0017522606695890624;35203.98693771281;35039.812890921035;5.364663551084926;17227.564390125008;0.05759339669973327;0.03322469409010847;938.1620131014934;0.17250778693216873
