Frequency;Cores;CacheSize;P;rps;measured_P;measured_rps;delta_rps_rel;delta_P_rel;delta_rps;delta_P
1100;2;32;5.150096228147022;16031.90556779164;5.2196393808303725;17260.712238195676;0.07664757412697891;0.013503272483196306;1228.8066704040357;0.06954315268335076
1200;2;32;5.282554223073733;16422.72333142576;5.364663551084926;17227.564390125008;0.04900777066365968;0.015543489861882908;804.8410586992468;0.0821093280111933
1300;2;32;5.435536413044593;16702.96298634835;5.512391670712119;17204.718073383643;0.030039884985998435;0.014139406275171454;501.7550870352934;0.07685525766752566
1400;2;32;5.613724093491916;16872.6245325594;5.636038331068986;17204.024209612286;0.019641264251058204;0.003974943763791136;331.39967705288655;0.02231423757706974
1500;2;32;5.82179855984802;16931.70797005892;5.821905552365263;17204.21262519286;0.016094339426112356;1.8377914684498076e-5;272.5046551339401;1.0699251724322068e-4
1600;2;32;6.064441107545218;16880.213298846906;6.34802440899334;17203.31818155377;0.01914104265074269;0.04676165477067553;323.10488270686255;0.2835833014481226
1700;2;32;6.346333032015826;16718.140518923356;6.3503571013858355;17209.639841154025;0.029399162046421283;6.340778761071969e-4;491.49932223066935;0.004024069370009542
1800;2;32;6.672155628692163;16445.48963028828;6.699713496720032;17231.77339691366;0.04781151454300584;0.004130279562029745;786.2837666253799;0.02755786802786897
1900;2;32;7.046590193006542;16062.260632941667;7.209372788658826;17263.82372763129;0.07480659927939219;0.02310090287552682;1201.5630946896235;0.16278259565228392
2e3;2;32;7.47431802039128;15568.45352688352;7.991968398210803;17276.196278017298;0.10969251044651651;0.06925720532726597;1707.7427511337773;0.5176503778195229
200;1;64;3.9456649514067497;5131.0253437000865;4.019730422098498;3890.5637070252596;-0.24175706678156939;0.018771353270972017;-1240.4616366748269;0.07406547069174874
300;1;64;4.104063485390341;6517.046085738003;4.132634708690541;5654.946235208732;-0.13228383522036197;0.006961691358310597;-862.099850529271;0.02857122330020001
400;1;64;4.240854555527238;7792.488719064387;4.248645814281241;7330.3067879248465;-0.05931120952524556;0.0018371907482298883;-462.1819311395402;0.007791258754003216
500;1;64;4.360719457249757;8957.353243679237;4.354608386697267;8829.295187950664;-0.01429641683707608;-0.001401390438527314;-128.0580557285739;-0.006111070552489828
600;1;64;4.468339485990213;10011.639659582554;4.457934321390186;10276.473769917442;0.02645262108304156;-0.0023286423586771506;264.83411033488846;-0.010405164600026495
700;1;64;4.568395937180922;10955.347966774341;4.540357492055095;11210.75923964221;0.02331384394566801;-0.006137481407342586;255.41127286786832;-0.028038445125827316
800;1;64;4.6655701062542;11788.47816525459;4.667631437230659;12061.06314529886;0.023122999951570366;4.4181759774561776e-4;272.5849800442702;0.002061330976458997
900;1;64;4.764543288642362;12511.03025502331;4.78643905086118;12846.052203062745;0.026778126278203227;0.004595563707231366;335.0219480394353;0.021895762218817616
1e3;1;64;4.8699967797777255;13123.004236080495;4.924556434178662;13477.165939186267;0.026987852532428292;0.011203221864024835;354.1617031057722;0.05455965440093635
1100;1;64;4.9866118750926045;13624.400108426147;5.040752298455358;13795.162283676404;0.012533555524741733;0.010857156064857711;170.7621752502564;0.054140423362753154
1200;1;64;5.119069870019317;14015.217872060264;5.185935842933291;14122.918962236632;0.0076845819422524326;0.013062133280419927;107.70109017636787;0.06686597291397423
1300;1;64;5.272052059990176;14295.457526982853;5.326912710989915;14296.598794927308;7.9834306967831e-5;0.010405938783510678;1.1412679444547393;0.054860650999739136
1400;1;64;5.4502397404375;14465.119073193906;5.4262851660683324;14287.217393544846;-0.012298666796233901;-0.00439514140844826;-177.9016796490596;-0.023954574369167148
1500;1;64;5.658314206793602;14524.202510693423;5.573719107358253;14269.634171424097;-0.017527181893938804;-0.014950583573775513;-254.56833926932632;-0.08459509943534904
1600;1;64;5.9009567544908;14472.707839481409;6.030063864973476;14255.470129960937;-0.015010163400649158;0.021879013159081615;-217.23770952047198;0.12910711048267576
1700;1;64;6.18284867896141;14310.635059557862;6.026201373435072;14246.33894429095;-0.004492890427246959;-0.02533578187985857;-64.29611526691224;-0.156647305526338
1800;1;64;6.508671275637746;14037.984170922784;6.334829261572698;14248.378905921496;0.01498753185906191;-0.02670929391007146;210.394734998712;-0.1738420140650483
1900;1;64;6.883105839952125;13654.75517357617;6.744023241670186;14245.92995705574;0.043294425712119264;-0.020206372169181433;591.1747834795697;-0.1390825982819388
2e3;1;64;7.310833667336863;13160.948067518024;7.383316182012802;14242.508067154326;0.08217948996437832;0.009914397998107175;1081.5599996363017;0.07248251467593914
200;2;64;4.059302401078646;5254.1829293666115;4.038354028509074;4086.5756208349258;-0.2222243352064714;-0.005160584381199327;-1167.6073085316857;-0.020948372569571383
300;2;64;4.217700935062236;6640.203671404528;4.141341913239172;5869.248743252794;-0.11610410859410618;-0.018104418259787678;-770.9549281517338;-0.07635902182306431
400;2;64;4.354492005199134;7915.646304730913;4.244302058491768;7509.380853665548;-0.0513243562717745;-0.025304891265342182;-406.2654510653647;-0.11018994670736593
500;2;64;4.474356906921653;9080.510829345763;4.344832123394175;8906.994922907288;-0.01910860629973796;-0.02894824579753748;-173.5159064384752;-0.12952478352747754
600;2;64;4.581976935662109;10134.79724524908;4.463532030946525;10204.691428775777;0.006896456025251253;-0.025850174799814423;69.89418352669782;-0.11844490471558355
700;2;64;4.682033386852818;11078.505552440864;4.553393200581969;11394.877879334255;0.028557310857120734;-0.02747528170817231;316.3723268933918;-0.12864018627084928
800;2;64;4.779207555926096;11911.635750921116;4.68342751079309;12331.299396506292;0.03523140350834893;-0.020040988806657157;419.6636455851767;-0.0957800451330062
900;2;64;4.878180738314258;12634.187840689836;4.830862589910442;13155.943872305126;0.04129715642939199;-0.009699958025779857;521.7560316152903;-0.047318148403816096
1e3;2;64;4.9836342294496205;13246.16182174702;5.0194112930649;14012.873514977387;0.057881800294150895;0.007178910403147862;766.711693230367;0.03577706361527966
1100;2;64;5.1002493247645;13747.55769409267;5.185111219908417;14190.23322361362;0.03220030345543989;0.016638773859910236;442.6755295209514;0.0848618951439164
1200;2;64;5.232707319691212;14138.37545772679;5.293598253458868;14207.188012503671;0.004867076488570297;0.011636602249569328;68.81255477688137;0.06089093376765664
1300;2;64;5.385689509662072;14418.615112649379;5.445991252963066;14204.463361927663;-0.01485244935443499;0.011196661670304439;-214.15175072171587;0.060301743300994026
1400;2;64;5.563877190109395;14588.276658860428;5.5663891414071225;14185.497302260763;-0.027609796963579705;4.51474971840359e-4;-402.77935659966533;0.0025119512977278546
1500;2;64;5.771951656465498;14647.36009635995;5.724029380712742;14196.501440259777;-0.030780881546854034;-0.008302612115448856;-450.8586561001721;-0.04792227575275554
1600;2;64;6.014594204162696;14595.865425147935;6.236150353080243;14198.885139071592;-0.027198132793987403;0.03683642510149854;-396.98028607634296;0.22155614891754638
1700;2;64;6.296486128633305;14433.792645224385;6.259172975495044;14193.135998854976;-0.016673140059901958;-0.005926028006093539;-240.65664636940892;-0.037313153138260446
1800;2;64;6.622308725309642;14161.14175658931;6.594605117383397;14200.26941727691;0.0027630300833189152;-0.0041833760815718855;39.12766068759993;-0.027703607926245155
1900;2;64;6.996743289624021;13777.912759242696;7.056281979561193;14203.466142433965;0.030886636504922935;0.00850948612413241;425.55338319126895;0.05953868993717215
2e3;2;64;7.424471117008759;13284.10565318455;7.795452036175471;14199.366186111967;0.06889892001935452;0.04996731933091232;915.2605329274174;0.37098091916671194
200;1;256;3.826093187241575;375.44608940124726;4.03314154347925;2906.1403253201106;6.740499654570264;0.054114823164290594;2530.6942359188633;0.2070483562376748
300;1;256;3.984491721225166;1761.466831439163;4.163595049225817;4323.5670293102985;1.4545265071939135;0.04495010669656499;2562.1001978711356;0.1791033280006511
400;1;256;4.121282791362064;3036.9094647655465;4.275006767682934;5472.358893603347;0.801949961661376;0.037300031107563386;2435.4494288378;0.15372397632087065
500;1;256;4.241147693084582;4201.773989380398;4.379830397957798;6488.637626604146;0.5442614578993511;0.03269933397965497;2286.863637223748;0.138682704873216
600;1;256;4.348767721825038;5256.060405283714;4.484799309477735;7349.720271186061;0.39833253510512767;0.03128049055597964;2093.6598659023466;0.13603158765269718
700;1;256;4.448824173015748;6199.7687124755;4.540959283325581;7786.281350009569;0.25589868124299614;0.020709991387988933;1586.5126375340687;0.09213511030983312
800;1;256;4.545998342089025;7032.898910955751;4.655900473818915;7983.368439332843;0.1351461951054727;0.024175576729178187;950.4695283770925;0.10990213172989005
900;1;256;4.644971524477187;7755.451000724471;4.755491428068562;8079.32624544438;0.04176098136519138;0.023793451264228067;323.87524471990946;0.11051990359137509
1e3;1;256;4.75042501561255;8367.424981781656;4.848481431796001;8088.8912776042725;-0.033287863922752035;0.020641609089962012;-278.5337041773837;0.09805641618345096
1100;1;256;4.86704011092743;8868.820854127305;4.9605387264654555;8105.455435401072;-0.08607293249936201;0.01921057016318874;-763.3654187262337;0.0934986155380253
1200;1;256;4.9994981058541414;9259.638617761426;5.076057595457313;8103.540222633003;-0.12485351133583616;0.015313435065316818;-1156.0983951284225;0.07655948960317183
1300;1;256;5.152480295825001;9539.878272684015;5.19319381085019;8104.235035658848;-0.1504886326627366;0.007901731338629021;-1435.6432370251669;0.04071351502518894
1400;1;256;5.330667976272324;9709.539818895064;5.278525260137863;8100.867495607525;-0.16567956394359837;-0.009781647697166048;-1608.6723232875393;-0.052142716134460976
1500;1;256;5.538742442628427;9768.623256394585;5.427137965087378;8105.044750727864;-0.1702981537933439;-0.02014978647176216;-1663.578505666721;-0.11160447754104919
