Config;Sets;SetMisses;Gets;GetMisses;CacheSize;CacheThreads;Frequency;E_ext;E_arm;E_mem;E_g3d;E_kfc;t_user;t_system;t_wall;perc_cpu;size_resident;cycles;instructions_k;instructions_u;LLC-store;LLC-store-misses;LLC-loads;LLC-load-misses;memoryHeaviness;instructions_adj;instructions;IPR;IPC;P_dyn_Rest;P_Rest;P_dyn_g3d;P_dyn_mem;P_dyn_kfc;P_dyn_arm;P_kfc;P_g3d;P_arm;P_mem;rps;EperRequest;uIPC;kIPC;uIPR;kIPR;instructions_u_adj;instructions_k_adj;P_ext;P;E_total;requests
big;200064;0;1799936;1498870;32;2;1000;594;102.006391;10.441626;4.443648;1.601933;21.57;113.32;116.430896594;115;37236;275422450526;61254975563;6968115884;964065758;32224613;3965631734;89637177;0.0017862249777213617;66973870947.17644;68223091447;34111.5457235;0.5859535006837328;0.43771022742179566;4.084022505281508;0.0011653320137899673;0.027446338971665825;0;0.7611783345025603;0.013758658971647497;0.0381655396461921;0.8761110150658812;0.08968088630641091;17177.57106152067;5.9246798999999994e-5;0.05984765288116046;0.5261058478025723;3484.057942;30627.4877815;5903186103.253596;61070684843.922844;5.101738605271639;1.0177160999901318;118.49359799999999;2000000
big;200064;0;1799936;1499250;32;2;1100;604.8;114.039693;10.358518;4.469422;1.64638;20.5;108.3;115.870073749;110;37344;292106582077;62164572764;7017188228;993946309;31601666;4066588204;87669078;0.001724020063811214;67938557721.41058;69181760992;34590.880496;0.5427847584611558;0.4469446922480951;4.093256970107808;0.001572495874128367;0.027163151871340017;0;0.8475727685518504;0.0142088457073603;0.0385727035065305;0.984203162302589;0.0893976992060851;17260.712238195676;6.525700649999999e-5;0.05505530305671011;0.4877294554044457;3508.594114;31082.286382;5957387987.322724;61981169734.08786;5.2196393808303725;1.1263824107225646;130.51401299999998;2000000
big;200064;0;1799936;1498282;32;2;1200;622.8;126.57401;10.372194;4.548059;1.681885;18.53;103.2;116.093021318;104;37240;305486678966;62841052887;7008035521;994049702;31488894;4110020029;88615267;0.0017194807224748857;68603493068.96718;69849088408;34924.544204;0.5013873617251475;0.48506311882517883;4.131375396684891;0.002175782003891645;0.027109272666189045;0;0.9283305093640659;0.014487391067142698;0.039175989636293776;1.0902809536956632;0.08934382000093413;17227.564390125008;7.158807400000001e-5;0.050304742994296145;0.4510826187308514;3504.0177605;31420.5264435;5946196100.7516775;62657296968.2155;5.364663551084926;1.233288154400034;143.176148;2000000
big;200064;0;1799936;1498763;32;2;1300;640.8;139.58988;10.338267;4.600133;1.723702;18.13;97.63;116.247182399;99;37232;318213969776;63313531526;7006471652;1015737666;31309236;4181426927;88838058;0.0017085791889950987;69072753800.49205;70320003178;35160.001589;0.46532147292189685;0.5219437434936984;4.168256021353411;0.002571788050132119;0.026698937216437756;0;1.0099094333428298;0.014827903476263766;0.03957199568253425;1.2008022656487267;0.08893348455118284;17204.718073383643;7.8125991e-5;0.04636321902377482;0.418958253898122;3503.235826;31656.765763;5943222204.594011;63129531595.89803;5.512391670712119;1.3441356493587078;156.251982;2000000
big;200064;0;1799936;1498108;32;2;1400;655.2;150.02046;10.28856;4.608286;1.726595;17.13;95.5;116.25187082;96;37236;335522698966;63477045954;6985137494;1012834137;30647807;4185350164;86421232;0.0016614449520485715;69214883767.07777;70462183448;35231.091724;0.4329403963934051;0.5562531996151558;4.202565477474868;0.002640324322006546;0.026267770326279215;0;1.0670202552149484;0.014852191090097763;0.03964053195440868;1.2904778128885859;0.0885023176610243;17204.024209612286;8.33219505e-5;0.04291874091223089;0.3900216554811742;3492.568747;31738.522977;5921845164.169383;63293038602.908394;5.636038331068986;1.4334728535941166;166.643901;2000000
big;200064;0;1799936;1498745;32;2;1500;676.8;164.854449;10.342475;4.626696;1.738956;16.87;91.7;116.250597663;93;37256;348448336553;63637514041;6979643494;1034482577;30890119;4248367797;87107797;0.0016709525010478745;69369871514.14456;70617157535;35308.5787675;0.4049708644062934;0.6137726933646817;4.260084971224394;0.002799123235662518;0.02673252215062568;0;1.158450875967687;0.014958684384927437;0.03979933086806465;1.418095496402506;0.08896706948537077;17204.21262519286;9.0781288e-5;0.04002642357294;0.36494444083335337;3489.821747;31818.7570205;5916362809.040672;63453508705.1039;5.821905552365263;1.5618205811408692;181.562576;2000000
big;200064;0;1799936;1497934;32;2;1600;738;210.493628;10.306444;4.639846;1.83311;15.29;85.73;116.256641823;86;37260;372766542714;64087704731;6995760343;1050119109;30589346;4247487851;86387349;0.0016456245468369302;69836114203.61754;71083465074;35541.732536999996;0.3821473334735582;0.746787023749039;4.393099301608752;0.0029101658933026325;0.02641797039143779;0;1.5111404082473663;0.015767787295894013;0.03991037352570476;1.8105944288368077;0.08865251772618288;17203.31818155377;1.13636514e-4;0.03760946596953898;0.34453786750401927;3497.8801715;32043.8523655;5932424375.412333;63903689828.2052;6.34802440899334;1.9549251073845895;227.273028;2000000
big;200064;0;1799936;1498133;32;2;1700;738;211.005163;10.311967;4.645895;1.835214;15.26;85.98;116.213936983;86;37388;372867639988;64015586779;6995698942;1047109332;30556212;4279229052;86268837;0.0016451617206172005;69764393043.1002;71011285721;35505.6428605;0.35943489762226283;0.7438819987065606;4.390194276566273;0.002976882212507012;0.02649807172718769;0;1.4727756717894949;0.01579168598572182;0.03997708984490914;1.8156614299269997;0.08873261906193278;17209.639841154025;1.1389911950000001e-4;0.035409840949694786;0.32402505667256803;3497.849471;32007.7933895;5932753572.245282;63831639470.85492;6.3503571013858355;1.9601628248195635;227.79823900000002;2000000
big;200064;0;1799936;1498445;32;2;1800;777.6;239.95068;10.30171;4.697443;1.902016;14.48;85.38;116.064664613;85;37232;392176354989;64213470329;7014169210;1047160118;30918117;4273315154;86693573;0.0016512085864589527;69982348447.19218;71227639539;35613.8197695;0.3409384844814155;0.8403947895871773;4.48670706744689;0.003472429028057021;0.02652381882561463;0;1.6774480390186624;0.016387554354652067;0.04047263666045915;2.0673878720976715;0.08875836616035972;17231.77339691366;1.284259245e-4;0.033574048442869146;0.30736443603854635;3507.084605;32106.7351645;5952589153.035151;64029759294.15703;6.699713496720032;2.213006429273143;256.851849;2000000
big;200064;0;1799936;1499119;32;2;1900;835.2;279.251559;10.34116;4.766086;1.989332;15.22;81.96;115.849190281;83;37316;404520080124;64322524775;6985770132;1033663325;31513604;4248515636;88472256;0.0016826353814305207;70065315701.13135;71308294907;35654.1474535;0.32396153515589365;1.0050095112091504;4.651321789068863;0.004140226654963518;0.0270294343548707;0;1.9698585997071598;0.017171738491868104;0.04114043428736565;2.410474845121114;0.08926398168961579;17263.82372763129;1.4817406849999996e-4;0.03173713267384199;0.29222440248205167;3492.885066;32161.2623875;5926160900.991541;64139154800.1398;7.209372788658826;2.5580509995899634;296.34813699999995;2000000
big;200064;0;1799936;1498409;32;2;2000;925.2;344.059756;10.372194;4.820264;2.19342;13.84;81.52;115.766223526;82;37236;420126011728;64457164219;7147989753;1037590885;32149170;4308279450;89488675;0.0016987303043516176;70363064940.25336;71605153972;35802.576986;0.30926617363448056;1.2234532619428893;4.869765539802602;0.004637705855528258;0.027361482354091603;0;2.4771069428690295;0.018946977220064352;0.04163791348793039;2.97202193801137;0.08959602968883669;17276.196278017298;1.8072281699999998e-4;0.030872518491521096;0.27839365514295944;3573.9948765;32228.5821095;6089139373.557543;64273925566.69581;7.991968398210803;3.1222028584082016;361.445634;2000000
big;200064;0;1799936;1296136;64;1;200;2066.4;94.01461;38.240989;19.099323;6.248617;80.29;424.41;514.064323478;97;69920;222007935144;70195427350;6942963963;1048393483;50903408;4300961319;130852205;0.0023562276825621203;71622847673.7892;77138391313;38569.1956565;0.750279564151676;0.06683483977271587;3.7131471176324284;1.5335881387426586e-4;0.012154954627331009;0;0.11112979357021506;0.012155321259650529;0.0371535664462764;0.18288491479806704;0.0743895019620761;3890.5637070252596;7.88017695e-5;0.06753010903408017;0.6827494551175958;3471.4819815;35097.713675;2241098536.334667;69381749137.45453;4.019730422098498;0.30658330446607;157.60353899999998;2000000
big;200064;0;1799936;1294694;64;1;300;1461.6;88.551574;27.512956;13.104764;4.320038;54.98;294.57;353.672681722;98;69980;229817778751;68500099557;6935070381;1034226800;47614654;4251511431;124856565;0.002286350241429213;71640514248.15054;75435169938;37717.584968999996;0.71096971707204;0.10888493311386416;3.7551972109735767;5.316029014732632e-5;0.015557596141086656;0;0.1859030597388114;0.01221479131202933;0.03705336792254946;0.25037719500655375;0.07779214347583174;5654.946235208732;6.6744666e-5;0.06536241690323923;0.6456073001688009;3467.5351905;34250.0497785;3700219646.185584;67940294601.96496;4.132634708690541;0.37743749771696433;133.48933200000002;2000000
big;200064;0;1799936;1291655;64;1;400;1159.2;86.180103;22.066489;10.198351;3.457661;40.63;224.68;272.839876674;96;69992;233989661912;66971562148;6942370944;980931217;45106330;4096745817;122159570;0.0022629819981546057;70986555762.77606;73913933092;36956.966545999996;0.6772647568331381;0.1555417936380712;3.8018540714977838;3.7831314806794497e-4;0.018642519716439397;0;0.2550478103014076;0.012672857949321506;0.037378520780470076;0.3158632970024812;0.08087706705118448;7330.3067879248465;6.0951302000000006e-5;0.06361213606886928;0.6136526207642689;3471.185472;33485.781074;4446853701.197184;66539702061.57887;4.248645814281241;0.4467917427834573;121.90260400000001;2000000
big;200064;0;1799936;1291032;64;1;500;986.4;85.787707;18.832378;8.524093;2.927453;34.96;182.15;226.518647007;95;69916;239466809511;65829154636;6945183336;1002128220;43442805;4122632948;120264555;0.0022495204293440166;70343954407.91754;72774337972;36387.168986000004;0.6425461120624748;0.19588076231461216;3.8421930401743247;6.306590208698393e-4;0.020903764891788877;0;0.31794331877236487;0.012923673342925867;0.03763086665327197;0.3787224943002107;0.08313831222653396;8829.295187950664;5.80358155e-5;0.06132107380797994;0.5812250382544949;3472.591668;32914.577318;4873341066.04562;65470613341.871925;4.354608386697267;0.5124153465229425;116.07163100000001;2000000
