Config;Sets;SetMisses;Gets;GetMisses;CacheSize;CacheThreads;Frequency;E_ext;E_arm;E_mem;E_g3d;E_kfc;t_user;t_system;t_wall;perc_cpu;size_resident;cycles;instructions_k;instructions_u;LLC-store;LLC-store-misses;LLC-loads;LLC-load-misses
big;200064;0;1799936;573425;256;1;400;1562.400;114.471013;30.890928;13.659694;4.544640;49.62;285.18;365.473105636;91;266596;309096729493;91312506072;7964406770;1295706931;80027623;4940965042;231167910
big;200064;0;1799936;573822;256;1;500;1350.000;115.393354;26.905689;11.579627;3.974456;40.92;233.28;308.231113385;88;266612;320683751870;90163127252;7960051039;1303036626;75923978;4971260650;225976011
big;200064;0;1799936;573358;256;1;600;1220.400;116.348307;24.400351;10.283563;3.532090;34.51;190.03;272.119199943;82;266612;327821334647;89478282776;7975095484;1286420393;75219921;4905458692;226694846
big;200064;0;1799936;573174;256;1;700;1166.400;120.717263;23.266821;9.713379;3.335892;31.48;155.42;256.862025670;72;266532;341871055252;90708858840;8016005300;1272118546;72591736;4914809192;226695696
big;200064;0;1799936;572866;256;1;800;1166.400;136.280814;22.806834;9.505609;3.250680;30.36;129.74;250.520819025;63;266604;361554841231;93041365196;8064155908;1319640035;72129319;5068609031;228244506
big;200064;0;1799936;574148;256;1;900;1177.200;153.012085;22.546727;9.389889;3.228588;27.59;115.54;247.545394163;57;266628;383864544794;95200195255;8093648526;1345481990;69990693;5290165843;224230801
big;200064;0;1799936;572751;256;1;1000;1198.800;169.457738;22.485711;9.374372;3.257781;25.74;105.72;247.252674237;53;266568;407072240570;97430179594;8116545307;1441302125;69142100;5520483984;224513220
big;200064;0;1799936;574135;256;1;1100;1224.00;190.116125;22.401814;9.354384;3.295916;24.57;99.60;246.747393276;50;266696;431076194367;98759492172;8114066875;1494009520;68267218;5718111895;224701084
big;200064;0;1799936;573412;256;1;1200;1252.800;211.322341;22.306608;9.356225;3.374553;23.31;92.63;246.805710227;46;266692;450722866399;100096853449;8122967152;1486226680;68098149;5796579666;222201937
big;200064;0;1799936;572900;256;1;1300;1281.600;234.442934;22.397869;9.377002;3.529986;21.34;87.96;246.784550448;44;266568;470326690790;100709401024;8385416009;1500501172;68567145;5835337578;225314534
big;200064;0;1799936;573042;256;1;1400;1303.200;251.561604;22.289250;9.460110;3.520781;20.74;84.59;246.887139073;42;266628;494457705653;100994214804;8229019955;1510941114;68764142;5859467206;222126253
big;200064;0;1799936;573030;256;1;1500;1339.200;276.413789;22.275837;9.651837;3.565491;19.61;81.40;246.759896029;40;266632;512732879291;101809227726;8136053736;1518552301;67844407;5958067138;220902543
big;200064;0;1799936;572502;256;1;1600;1440.0;352.977823;22.269262;9.805429;3.696202;18.90;74.11;247.076545501;37;266644;547601287883;102439671681;8141136315;1509770326;67837605;5944225995;220439953
big;200064;0;1799936;573416;256;1;1700;1440.0;353.617439;22.316076;9.834096;3.753273;18.30;74.64;246.779018063;37;266652;548868698151;102616845289;8236939993;1531097294;68678262;5977099674;221882831
big;200064;0;1799936;573552;256;1;1800;1504.800;401.464240;22.247433;9.834096;3.772735;18.24;72.93;246.690082306;36;266620;573614742646;102597261254;8265608382;1528011587;68316758;5993238179;222650160
big;200064;0;1799936;572742;256;1;1900;1594.800;468.812491;22.252430;9.845142;3.915018;17.49;70.70;246.776343475;35;266712;590871694844;102937786576;8232095414;1517564064;68315072;5988125242;221546908
big;200064;0;1799936;573132;256;1;2000;1735.200;571.082145;22.203512;10.118662;4.213260;16.83;68.65;246.718771855;34;266652;605700430386;103181443698;8175814439;1549224781;68224165;6092153647;219375678
big;200064;0;1799936;572931;256;2;200;2894.400;131.929216;54.234808;26.575098;8.643495;113.74;558.89;716.788774452;93;266728;309823530138;102706438236;8327765786;1405156778;82822346;5421586280;246192934
